year,county,fuel_type,make,model,num_vehicle
1998,Los Angeles,Electric,FORD,RANGER,1
1998,Orange,Electric,FORD,RANGER,1
1998,San Bernardino,Electric,FORD,RANGER,2
1998,San Mateo,Electric,FORD,RANGER,1
1999,Santa Barbara,Electric,FORD,RANGER,1
2000,Out Of State,Electric,FORD,RANGER,2
2001,Los Angeles,Electric,FORD,RANGER,1
2002,Tulare,Electric,FORD,RANGER,1
2002,Ventura,Electric,FORD,RANGER,2
2003,Placer,Electric,FORD,RANGER,2
2003,Santa Barbara,Electric,FORD,RANGER,1
2003,Ventura,Electric,FORD,RANGER,3
2004,Santa Barbara,Electric,FORD,RANGER,1
2005,Los Angeles,Electric,FORD,RANGER,1
2005,Napa,Electric,FORD,RANGER,1
2005,Sacramento,Electric,FORD,RANGER,1
2005,San Bernardino,Electric,FORD,RANGER,1
2005,Ventura,Electric,FORD,RANGER,4
2006,Ventura,Electric,FORD,RANGER,1
2009,Alameda,Electric,TESLA,ROADSTER,5
2009,Contra Costa,Electric,TESLA,ROADSTER,1
2009,Humboldt,Electric,FORD,RANGER,1
2009,Kern,Electric,TESLA,ROADSTER,1
2009,Los Angeles,Electric,MINI,COOPER,6
2009,Los Angeles,Electric,TESLA,ROADSTER,23
2009,Los Angeles,Hydrogen,HONDA,FCX,1
2009,Marin,Electric,TESLA,ROADSTER,1
2009,Orange,Electric,TESLA,ROADSTER,3
2009,Sacramento,Electric,TESLA,ROADSTER,2
2009,San Diego,Electric,TESLA,ROADSTER,1
2009,San Francisco,Electric,TESLA,ROADSTER,5
2009,San Luis Obispo,Electric,TESLA,ROADSTER,1
2009,San Mateo,Electric,FORD,RANGER,2
2009,San Mateo,Electric,TESLA,ROADSTER,8
2009,Santa Barbara,Electric,TESLA,ROADSTER,1
2009,Santa Clara,Electric,TESLA,ROADSTER,12
2009,Sonoma,Electric,TESLA,ROADSTER,1
2009,Stanislaus,Electric,TESLA,ROADSTER,1
2009,Ventura,Electric,MINI,COOPER,4
2009,Ventura,Electric,TESLA,ROADSTER,3
2009,Yolo,Electric,FORD,RANGER,1
2010,Alameda,Electric,FORD,RANGER,1
2010,Alameda,Electric,TESLA,ROADSTER,12
2010,Amador,Electric,FORD,RANGER,1
2010,Contra Costa,Electric,TESLA,ROADSTER,9
2010,Fresno,Electric,TESLA,ROADSTER,2
2010,Humboldt,Electric,TESLA,ROADSTER,1
2010,Lake,Electric,FORD,RANGER,1
2010,Los Angeles,Electric,FORD,RANGER,2
2010,Los Angeles,Electric,MINI,COOPER,61
2010,Los Angeles,Electric,TESLA,ROADSTER,101
2010,Los Angeles,PHEV,CHEVROLET,VOLT,1
2010,Los Angeles,PHEV,Toyota,Prius Plug-in Hybrid,163
2010,Los Angeles,Hydrogen,HONDA,FCX,11
2010,Marin,Electric,TESLA,ROADSTER,14
2010,Monterey,Electric,TESLA,ROADSTER,2
2010,Napa,Electric,TESLA,ROADSTER,3
2010,Orange,Electric,MINI,COOPER,8
2010,Orange,Electric,NISSAN,LEAF,1
2010,Orange,Electric,TESLA,ROADSTER,26
2010,Orange,Hydrogen,HONDA,FCX,2
2010,Out Of State,Electric,MINI,COOPER,6
2010,Out Of State,Electric,TESLA,ROADSTER,3
2010,Placer,Electric,TESLA,ROADSTER,3
2010,Riverside,Electric,MINI,COOPER,1
2010,Riverside,Electric,TESLA,ROADSTER,3
2010,Riverside,PHEV,CHEVROLET,VOLT,1
2010,Sacramento,Electric,FORD,RANGER,1
2010,Sacramento,Electric,TESLA,ROADSTER,2
2010,San Benito,Electric,TESLA,ROADSTER,1
2010,San Bernardino,Electric,TESLA,ROADSTER,1
2010,San Diego,Electric,MINI,COOPER,2
2010,San Diego,Electric,TESLA,ROADSTER,26
2010,San Francisco,Electric,TESLA,ROADSTER,20
2010,San Joaquin,Electric,TESLA,ROADSTER,1
2010,San Mateo,Electric,FORD,RANGER,1
2010,San Mateo,Electric,TESLA,ROADSTER,38
2010,San Mateo,PHEV,CHEVROLET,VOLT,1
2010,Santa Barbara,Electric,MINI,COOPER,2
2010,Santa Barbara,Electric,TESLA,ROADSTER,5
2010,Santa Clara,Electric,FORD,RANGER,6
2010,Santa Clara,Electric,TESLA,ROADSTER,77
2010,Santa Cruz,Electric,FORD,RANGER,1
2010,Santa Cruz,Electric,TESLA,ROADSTER,5
2010,Sonoma,Electric,FORD,RANGER,3
2010,Sonoma,Electric,TESLA,ROADSTER,4
2010,Ventura,Electric,MINI,COOPER,17
2010,Ventura,Electric,TESLA,ROADSTER,8
2011,Alameda,Electric,NISSAN,LEAF,369
2011,Alameda,Electric,TESLA,ROADSTER,4
2011,Alameda,PHEV,CHEVROLET,VOLT,79
2011,Amador,Electric,NISSAN,LEAF,4
2011,Amador,PHEV,CHEVROLET,VOLT,2
2011,Butte,Electric,NISSAN,LEAF,8
2011,Butte,PHEV,CHEVROLET,VOLT,2
2011,Calaveras,Electric,NISSAN,LEAF,1
2011,Calaveras,Electric,TESLA,ROADSTER,1
2011,Calaveras,PHEV,CHEVROLET,VOLT,2
2011,Contra Costa,Electric,NISSAN,LEAF,169
2011,Contra Costa,Electric,Smart,fortwo electric drive,2
2011,Contra Costa,Electric,TESLA,ROADSTER,2
2011,Contra Costa,PHEV,CHEVROLET,VOLT,38
2011,Del Norte,PHEV,CHEVROLET,VOLT,1
2011,El Dorado,Electric,NISSAN,LEAF,19
2011,El Dorado,PHEV,CHEVROLET,VOLT,10
2011,Fresno,Electric,Mitsubishi,i-MiEV,2
2011,Fresno,Electric,NISSAN,LEAF,15
2011,Fresno,PHEV,CHEVROLET,VOLT,20
2011,Humboldt,Electric,NISSAN,LEAF,9
2011,Humboldt,PHEV,CHEVROLET,VOLT,1
2011,Imperial,PHEV,CHEVROLET,VOLT,1
2011,Kern,Electric,NISSAN,LEAF,15
2011,Kern,PHEV,CHEVROLET,VOLT,14
